Date,Q-P1,Q-P2,Q-P3,Q-P4,S-P1,S-P2,S-P3,S-P4,Total_Sales
2010-06-13,5422,3725,576,907,17187.74,23616.5,3121.92,6466.91,50393.07000000001
2010-06-14,7047,779,3578,1574,22338.99,4938.86,19392.76,11222.62,57893.23
2010-06-15,1572,2082,595,1145,4983.24,13199.88,3224.9,8163.85,29571.870000000003
2010-06-16,5657,2399,3140,1672,17932.69,15209.66,17018.8,11921.36,62082.509999999995
2010-06-17,3668,3207,2184,708,11627.56,20332.38,11837.28,5048.04,48845.26
2010-06-18,2898,2539,311,1513,9186.66,16097.26,1685.62,10787.69,37757.229999999996
2010-06-19,6912,1470,1576,1608,21911.04,9319.8,8541.92,11465.04,51237.8
2010-06-20,5209,2550,3415,842,16512.53,16167.0,18509.3,6003.46,57192.29
2010-06-21,6322,852,3646,1377,20040.74,5401.68,19761.32,9818.01,55021.75000000001
2010-06-22,6865,414,3902,562,21762.05,2624.76,21148.84,4007.06,49542.70999999999
2010-06-23,1287,3955,2710,1804,4079.79,25074.7,14688.2,12862.52,56705.21000000001
2010-06-24,2197,1429,2754,1299,6964.49,9059.86,14926.68,9261.87,40212.9
2010-06-25,7910,1622,5574,306,25074.7,10283.48,30211.08,2181.78,67751.04000000001
2010-06-26,3855,1015,1746,608,12220.35,6435.1,9463.32,4335.04,32453.81
2010-06-27,5988,3288,916,1530,18981.96,20845.92,4964.72,10908.9,55701.5
2010-06-28,2653,1544,3867,652,8410.01,9788.96,20959.14,4648.76,43806.87
2010-06-29,3664,2294,3244,897,11614.88,14543.96,17582.48,6395.61,50136.92999999999
2010-06-30,7077,2297,5376,1130,22434.09,14562.98,29137.92,8056.9,74191.88999999998
2010-07-01,3509,700,1175,1205,11123.53,4438.0,6368.5,8591.65,30521.68
2010-07-02,3716,3175,651,1263,11779.72,20129.5,3528.42,9005.19,44442.83
2010-07-03,7746,2883,671,728,24554.82,18278.22,3636.82,5190.64,51660.5
2010-07-04,7006,2833,758,1005,22209.02,17961.22,4108.36,7165.65,51444.25000000001
2010-07-05,5223,1923,1583,1877,16556.91,12191.82,8579.86,13383.01,50711.6
2010-07-06,4753,3125,2787,583,15067.01,19812.5,15105.54,4156.79,54141.840000000004
2010-07-07,3369,752,5913,358,10679.73,4767.68,32048.46,2552.54,50048.409999999996
2010-07-08,6805,758,4499,1740,21571.85,4805.72,24384.58,12406.2,63168.350000000006
2010-07-09,7826,2872,3592,328,24808.42,18208.48,19468.64,2338.64,64824.17999999999
2010-07-10,7450,273,4511,505,23616.5,1730.82,24449.62,3600.65,53397.590000000004
2010-07-11,5868,1690,1461,391,18601.56,10714.6,7918.62,2787.83,40022.61000000001
2010-07-12,5273,1888,5949,1677,16715.41,11969.92,32243.58,11957.01,72885.92
2010-07-13,1562,1851,3289,1740,4951.54,11735.34,17826.38,12406.2,46919.46000000001
2010-07-14,378,581,2531,446,1198.26,3683.54,13718.02,3179.98,21779.8
2010-07-15,3180,438,1327,532,10080.6,2776.92,7192.34,3793.16,23843.02
2010-07-16,2508,1197,1556,1946,7950.36,7588.98,8433.52,13874.98,37847.84
2010-07-17,7257,302,4973,1686,23004.69,1914.68,26953.66,12021.18,63894.21
2010-07-18,2527,1347,1626,1724,8010.59,8539.98,8812.92,12292.12,37655.61
2010-07-19,2581,2489,2607,1692,8181.77,15780.26,14129.94,12063.96,50155.93
2010-07-20,7694,2975,1278,558,24389.98,18861.5,6926.76,3978.54,54156.78
2010-07-21,3935,2972,5299,1253,12473.95,18842.48,28720.58,8933.89,68970.9
2010-07-22,2898,532,4664,1667,9186.66,3372.88,25278.88,11885.71,49724.13
2010-07-23,7734,1994,2772,271,24516.78,12641.96,15024.24,1932.23,54115.21
2010-07-24,3052,3935,4623,1653,9674.84,24947.9,25056.66,11785.89,71465.29000000001
2010-07-25,3041,811,1973,526,9639.97,5141.74,10693.66,3750.38,29225.75
2010-07-26,1387,2539,1890,1073,4396.79,16097.26,10243.8,7650.49,38388.34
2010-07-27,4536,2131,4185,470,14379.12,13510.54,22682.7,3351.1,53923.46
2010-07-28,7659,734,3981,1121,24279.03,4653.56,21577.02,7992.73,58502.34
2010-07-29,3144,3855,1856,1873,9966.48,24440.7,10059.52,13354.49,57821.189999999995
2010-07-30,6361,1773,3443,287,20164.37,11240.82,18661.06,2046.31,52112.56
2010-07-31,2733,3985,1341,1428,8663.61,25264.9,7268.22,10181.64,51378.37
2010-08-01,2062,3659,2194,803,6536.54,23198.06,11891.48,5725.39,47351.47
2010-08-02,1964,908,1608,1231,6225.88,5756.72,8715.36,8777.03,29474.989999999998
2010-08-03,3461,3800,3193,1443,10971.37,24092.0,17306.06,10288.59,62658.020000000004
2010-08-04,2118,3793,4333,1383,6714.06,24047.62,23484.86,9860.79,64107.33
2010-08-05,6458,3136,566,1135,20471.86,19882.24,3067.72,8092.55,51514.37000000001
2010-08-06,957,256,1505,1442,3033.69,1623.04,8157.1,10281.46,23095.29
2010-08-07,3595,3855,4211,1767,11396.15,24440.7,22823.62,12598.71,71259.18
2010-08-08,1980,1641,3747,1398,6276.6,10403.94,20308.74,9967.74,46957.02
2010-08-09,3589,3037,4366,724,11377.13,19254.58,23663.72,5162.12,59457.55
2010-08-10,2661,1125,2235,281,8435.37,7132.5,12113.7,2003.53,29685.1
2010-08-11,5148,2530,5069,748,16319.16,16040.2,27473.98,5333.24,65166.579999999994
2010-08-12,3272,2734,4940,1137,10372.24,17333.56,26774.8,8106.81,62587.41
2010-08-13,5704,808,891,994,18081.68,5122.72,4829.22,7087.22,35120.840000000004
2010-08-14,3914,2652,920,744,12407.38,16813.68,4986.4,5304.72,39512.18
2010-08-15,3094,2510,303,504,9807.98,15913.4,1642.26,3593.52,30957.159999999996
2010-08-16,4180,3720,1356,781,13250.6,23584.8,7349.52,5568.53,49753.45
2010-08-17,7024,3160,2743,1168,22266.08,20034.4,14867.06,8327.84,65495.380000000005
2010-08-18,5187,490,5874,1456,16442.79,3106.6,31837.08,10381.28,61767.75
2010-08-19,570,628,4053,1402,1806.9,3981.52,21967.26,9996.26,37751.94
2010-08-20,2497,3055,5978,1606,7915.49,19368.7,32400.76,11450.78,71135.73
2010-08-21,419,1278,5544,489,1328.23,8102.52,30048.48,3486.57,42965.799999999996
2010-08-22,2592,438,3777,1568,8216.64,2776.92,20471.34,11179.84,42644.740000000005
2010-08-23,7712,1739,3940,1041,24447.04,11025.26,21354.8,7422.33,64249.43000000001
2010-08-24,1076,539,2568,668,3410.92,3417.26,13918.56,4762.84,25509.579999999998
2010-08-25,2668,1272,4365,1846,8457.56,8064.48,23658.3,13161.98,53342.31999999999
2010-08-26,1350,2211,1900,602,4279.5,14017.74,10298.0,4292.26,32887.5
2010-08-27,7841,469,4670,938,24855.97,2973.46,25311.4,6687.94,59828.770000000004
2010-08-28,586,3052,4481,1919,1857.62,19349.68,24287.02,13682.47,59176.79
2010-08-29,2003,741,4222,1563,6349.51,4697.94,22883.24,11144.19,45074.880000000005
2010-08-31,2564,2772,5371,1819,8127.88,17574.48,29110.82,12969.47,67782.65
2010-09-01,3532,2223,5959,519,11196.44,14093.82,32297.78,3700.47,61288.51
2010-09-02,519,2119,1349,614,1645.23,13434.46,7311.58,4377.82,26769.089999999997
2010-09-03,2957,1896,2583,1034,9373.69,12020.64,13999.86,7372.42,42766.61
2010-09-04,5478,3084,5614,717,17365.26,19552.56,30427.88,5112.21,72457.91
2010-09-05,5010,2834,359,1417,15881.7,17967.56,1945.78,10103.21,45898.25
2010-09-06,3027,2584,4244,1390,9595.59,16382.56,23002.48,9910.7,58891.33
2010-09-07,867,2795,5645,1641,2748.39,17720.3,30595.9,11700.33,62764.92
2010-09-08,4198,2352,2762,366,13307.66,14911.68,14970.04,2609.58,45798.96000000001
2010-09-09,2107,3004,5320,1756,6679.19,19045.36,28834.4,12520.28,67079.23
2010-09-10,3807,575,3085,1498,12068.19,3645.5,16720.7,10680.74,43115.13
2010-09-11,1949,1978,4159,950,6178.33,12540.52,22541.78,6773.5,48034.13
2010-09-12,2923,2974,784,976,9265.91,18855.16,4249.28,6958.88,39329.229999999996
2010-09-13,2111,1739,1049,1535,6691.87,11025.26,5685.58,10944.55,34347.259999999995
2010-09-14,3179,3646,4008,1088,10077.43,23115.64,21723.36,7757.44,62673.87
2010-09-15,6653,255,554,486,21090.01,1616.7,3002.68,3465.18,29174.57
2010-09-16,4008,2164,1959,1189,12705.36,13719.76,10617.78,8477.57,45520.47
2010-09-17,6950,2226,5834,1493,22031.5,14112.84,31620.28,10645.09,78409.70999999999
2010-09-18,1284,1287,3272,1777,4070.28,8159.58,17734.24,12670.01,42634.11
2010-09-19,949,550,4564,1850,3008.33,3487.0,24736.88,13190.5,44422.71
2010-09-20,5573,2502,4367,384,17666.41,15862.68,23669.14,2737.92,59936.149999999994
2010-09-21,7043,713,532,1209,22326.31,4520.42,2883.44,8620.17,38350.340000000004
2010-09-22,4505,3078,2148,800,14280.85,19514.52,11642.16,5704.0,51141.53
2010-09-23,2073,3807,5311,490,6571.41,24136.38,28785.62,3493.7,62987.11
2010-09-24,4845,1556,1016,1511,15358.65,9865.04,5506.72,10773.43,41503.840000000004
2010-09-25,4094,2181,3800,1805,12977.98,13827.54,20596.0,12869.65,60271.170000000006
2010-09-26,3953,1298,3332,1634,12531.01,8229.32,18059.44,11650.42,50470.19
2010-09-27,2596,1820,760,1253,8229.32,11538.8,4119.2,8933.89,32821.21
2010-09-28,1068,2055,715,1087,3385.56,13028.7,3875.3,7750.31,28039.870000000003
2010-09-29,5110,3370,1228,1871,16198.7,21365.8,6655.76,13340.23,57560.490000000005
2010-09-30,7642,3158,414,656,24225.14,20021.72,2243.88,4677.28,51168.02
2010-10-01,4430,1942,3211,1751,14043.1,12312.28,17403.62,12484.63,56243.63
2010-10-02,758,1656,2788,1632,2402.86,10499.04,15110.96,11636.16,39649.020000000004
2010-10-03,7257,3804,2304,1282,23004.69,24117.36,12487.68,9140.66,68750.39
2010-10-04,4152,2432,3931,542,13161.84,15418.88,21306.02,3864.46,53751.200000000004
2010-10-05,2994,910,283,1897,9490.98,5769.4,1533.86,13525.61,30319.85
2010-10-06,3527,2557,3183,441,11180.59,16211.38,17251.86,3144.33,47788.16
2010-10-07,387,3515,3485,545,1226.79,22285.1,18888.7,3885.85,46286.439999999995
2010-10-08,5205,3146,2376,1708,16499.85,19945.64,12877.92,12178.04,61501.45
2010-10-09,854,1533,3331,1363,2707.18,9719.22,18054.02,9718.19,40198.61
2010-10-10,7329,406,257,1314,23232.93,2574.04,1392.94,9368.82,36568.729999999996
2010-10-11,6253,2602,3013,1255,19822.01,16496.68,16330.46,8948.15,61597.3
2010-10-12,5431,1654,764,1048,17216.27,10486.36,4140.88,7472.24,39315.75
2010-10-13,5041,2762,3532,438,15979.97,17511.08,19143.44,3122.94,55757.43000000001
2010-10-14,7259,2642,3644,1464,23011.03,16750.28,19750.48,10438.32,69950.10999999999
2010-10-15,3736,3621,5216,724,11843.12,22957.14,28270.72,5162.12,68233.1
2010-10-16,6013,1389,4931,365,19061.21,8806.26,26726.02,2602.45,57195.94
2010-10-17,2772,1663,475,1941,8787.24,10543.42,2574.5,13839.33,35744.49
2010-10-18,1723,2129,2859,1682,5461.91,13497.86,15495.78,11992.66,46448.21000000001
2010-10-19,1185,581,2327,1816,3756.45,3683.54,12612.34,12948.08,33000.41
2010-10-20,6476,3436,4327,1567,20528.92,21784.24,23452.34,11172.71,76938.20999999999
2010-10-21,3985,1065,703,1285,12632.45,6752.1,3810.26,9162.05,32356.860000000004
2010-10-22,573,1265,4389,451,1816.41,8020.1,23788.38,3215.63,36840.52
2010-10-23,5880,1732,3704,1591,18639.6,10980.88,20075.68,11343.83,61039.99
2010-10-24,6149,3407,4939,736,19492.33,21600.38,26769.38,5247.68,73109.77000000002
2010-10-25,6080,1441,3773,417,19273.6,9135.94,20449.66,2973.21,51832.409999999996
2010-10-26,7940,3131,3323,323,25169.8,19850.54,18010.66,2302.99,65333.99
2010-10-27,828,3871,4768,1071,2624.76,24542.14,25842.56,7636.23,60645.69
2010-10-28,5866,1038,2354,624,18595.22,6580.92,12758.68,4449.12,42383.94
2010-10-29,4721,1229,4707,739,14965.57,7791.86,25511.94,5269.07,53538.439999999995
2010-10-30,5506,3452,1307,422,17454.02,21885.68,7083.94,3008.86,49432.5
2010-11-01,3975,1068,5004,1564,12600.75,6771.12,27121.68,11151.32,57644.87
2010-11-02,1498,1525,2722,1276,4748.66,9668.5,14753.24,9097.88,38268.28
2010-11-03,6869,3258,4863,337,21774.73,20655.72,26357.46,2402.81,71190.72
2010-11-04,6130,3208,1974,1085,19432.1,20338.72,10699.08,7736.05,58205.950000000004
2010-11-05,7366,3767,3366,355,23350.22,23882.78,18243.72,2531.15,68007.87
2010-11-06,4671,1956,655,900,14807.07,12401.04,3550.1,6417.0,37175.21
2010-11-07,1719,1221,5147,1499,5449.23,7741.14,27896.74,10687.87,51774.98
2010-11-08,4330,3818,697,401,13726.1,24206.12,3777.74,2859.13,44569.09
2010-11-09,2633,652,1869,1682,8346.61,4133.68,10129.98,11992.66,34602.93
2010-11-10,1708,3881,2933,576,5414.36,24605.54,15896.86,4106.88,50023.64
