Date,Q-P1,Q-P2,Q-P3,Q-P4,S-P1,S-P2,S-P3,S-P4,Total_Sales,Year,Month,DayOfWeek,DayOfMonth,WeekOfYear,Quarter,IsWeekend,Total_Quantity,Ratio_S_P1,Ratio_S_P2,Ratio_S_P3,Ratio_S_P4,AvgPrice_P1,AvgPrice_P2,AvgPrice_P3,AvgPrice_P4
2010-06-13,5422,3725,576,907,17187.74,23616.5,3121.92,6466.91,50393.07000000001,2010,6,6,13,23,2,1,10630,0.34107348490576184,0.46864578800219947,0.06195137545698247,0.12832935163505615,3.1700000000000004,6.34,5.42,7.13
2010-06-14,7047,779,3578,1574,22338.99,4938.86,19392.76,11222.62,57893.23,2010,6,0,14,24,2,0,12978,0.38586532484022745,0.08530980219966997,0.3349745730200232,0.19385029994007935,3.1700000000000004,6.34,5.42,7.130000000000001
2010-06-15,1572,2082,595,1145,4983.24,13199.88,3224.9,8163.85,29571.870000000003,2010,6,1,15,24,2,0,5394,0.16851284683721385,0.44636609047720005,0.10905296147994699,0.276068101205639,3.17,6.34,5.42,7.13
2010-06-16,5657,2399,3140,1672,17932.69,15209.66,17018.8,11921.36,62082.51,2010,6,2,16,24,2,0,12868,0.2888525286751453,0.24499106108950813,0.27413195761576004,0.19202445261958642,3.17,6.34,5.42,7.130000000000001
2010-06-17,3668,3207,2184,708,11627.56,20332.38,11837.28,5048.04,48845.26,2010,6,3,17,24,2,0,9767,0.23804889154034597,0.4162610660686421,0.24234245042405345,0.1033475919669585,3.17,6.340000000000001,5.42,7.13
2010-06-18,2898,2539,311,1513,9186.66,16097.26,1685.62,10787.69,37757.23,2010,6,4,18,24,2,0,7261,0.24330863254534293,0.42633583025025934,0.0446436351395481,0.28571190206484953,3.17,6.34,5.42,7.13
2010-06-19,6912,1470,1576,1608,21911.04,9319.8,8541.92,11465.04,51237.8,2010,6,5,19,24,2,1,11566,0.42763428562506584,0.18189305551760612,0.16671129517660788,0.2237613636807201,3.17,6.34,5.42,7.130000000000001
2010-06-20,5209,2550,3415,842,16512.53,16167.0,18509.3,6003.46,57192.29,2010,6,6,20,24,2,1,12016,0.2887195109690484,0.28267796236170994,0.32363278336992624,0.10496974329931534,3.17,6.34,5.42,7.13
2010-06-21,6322,852,3646,1377,20040.74,5401.68,19761.32,9818.01,55021.75000000001,2010,6,0,21,25,2,0,12197,0.36423305329256156,0.09817354046354396,0.3591546979149154,0.17843870832897898,3.1700000000000004,6.340000000000001,5.42,7.13
2010-06-22,6865,414,3902,562,21762.05,2624.76,21148.84,4007.06,49542.70999999999,2010,6,1,22,25,2,0,11743,0.43925836919296507,0.0529797421255317,0.4268809679567388,0.08088092072476456,3.17,6.340000000000001,5.42,7.13
